model_name,seed,scope,module,surface_name,base_policy,alt_policy,n,base_accuracy,alt_accuracy,delta,ci_low,ci_high,mcnemar_p
Qwen/Qwen2.5-7B-Instruct,13,overall,pooled,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,966,0.4989648033126294,0.7308488612836439,0.23222981366459627,0.20186335403726707,0.26190476190476186,1.1330945914040506e-42
Qwen/Qwen2.5-7B-Instruct,13,overall,pooled,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,966,0.4989648033126294,0.7008281573498965,0.20245755693581782,0.170807453416149,0.23188405797101452,5.832048315794272e-42
Qwen/Qwen2.5-7B-Instruct,13,overall,pooled,overall,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,966,0.4989648033126294,0.7308488612836439,0.23232091097308488,0.20186335403726707,0.2619047619047619,2.5618727429598404e-42
Qwen/Qwen2.5-7B-Instruct,13,overall,pooled,overall,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,966,0.4989648033126294,0.7391304347826086,0.24069979296066255,0.2091097308488613,0.27122153209109734,1.4721772894262395e-43
Qwen/Qwen2.5-7B-Instruct,13,overall,pooled,overall,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,966,0.7308488612836439,0.7308488612836439,9.10973084886173e-05,-0.0031055900621117516,0.0031055900621118626,1.0
Qwen/Qwen2.5-7B-Instruct,13,overall,pooled,overall,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,966,0.7308488612836439,0.7391304347826086,0.008469979296066256,0.0,0.0165631469979296,0.057373046875
Qwen/Qwen2.5-7B-Instruct,13,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,248,0.5282258064516129,0.6088709677419355,0.08042741935483871,0.04435483870967738,0.12096774193548387,3.5881996154785156e-05
Qwen/Qwen2.5-7B-Instruct,13,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,248,0.5282258064516129,0.5241935483870968,-0.00413709677419355,-0.024193548387096753,0.012096774193548487,1.0
Qwen/Qwen2.5-7B-Instruct,13,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,248,0.5282258064516129,0.6088709677419355,0.0805725806451613,0.040322580645161366,0.12096774193548387,8.797645568847656e-05
Qwen/Qwen2.5-7B-Instruct,13,format:overall,format,overall,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,248,0.5282258064516129,0.6451612903225806,0.11724193548387096,0.06854838709677424,0.16129032258064524,4.176981747150421e-07
Qwen/Qwen2.5-7B-Instruct,13,format:overall,format,overall,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,248,0.6088709677419355,0.6088709677419355,0.00014516129032258096,-0.012096774193548376,0.012096774193548376,1.0
Qwen/Qwen2.5-7B-Instruct,13,format:overall,format,overall,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,248,0.6088709677419355,0.6451612903225806,0.03681451612903224,0.012096774193548376,0.06451612903225801,0.01171875
Qwen/Qwen2.5-7B-Instruct,13,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,113,0.2743362831858407,0.39823008849557523,0.12361061946902654,0.06194690265486724,0.19469026548672563,0.000518798828125
Qwen/Qwen2.5-7B-Instruct,13,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,113,0.2743362831858407,0.26548672566371684,-0.00713274336283186,-0.035398230088495575,0.017699115044247815,1.0
Qwen/Qwen2.5-7B-Instruct,13,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,113,0.2743362831858407,0.39823008849557523,0.1244424778761062,0.06194690265486724,0.1946902654867257,0.001312255859375
Qwen/Qwen2.5-7B-Instruct,13,format:ifbench,format,ifbench,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,113,0.2743362831858407,0.45132743362831856,0.17847787610619467,0.10619469026548672,0.25663716814159293,3.5881996154785156e-05
Qwen/Qwen2.5-7B-Instruct,13,format:ifbench,format,ifbench,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,113,0.39823008849557523,0.39823008849557523,0.0008318584070796469,-0.026548672566371667,0.026548672566371667,1.0
Qwen/Qwen2.5-7B-Instruct,13,format:ifbench,format,ifbench,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,113,0.39823008849557523,0.45132743362831856,0.05486725663716814,0.008849557522123908,0.10619469026548672,0.0703125
Qwen/Qwen2.5-7B-Instruct,13,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,135,0.7407407407407407,0.7851851851851852,0.04410370370370371,0.007407407407407418,0.0888888888888889,0.0703125
Qwen/Qwen2.5-7B-Instruct,13,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,135,0.7407407407407407,0.7407407407407407,-0.0002518518518518516,-0.022222222222222254,0.022222222222222254,1.0
Qwen/Qwen2.5-7B-Instruct,13,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,135,0.7407407407407407,0.7851851851851852,0.04410370370370371,0.007407407407407418,0.0888888888888889,0.0703125
Qwen/Qwen2.5-7B-Instruct,13,format:ifeval_screened,format,ifeval_screened,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,135,0.7407407407407407,0.8074074074074075,0.06619259259259261,0.02962962962962956,0.11111111111111116,0.01171875
Qwen/Qwen2.5-7B-Instruct,13,format:ifeval_screened,format,ifeval_screened,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,135,0.7851851851851852,0.7851851851851852,0.0,0.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct,13,format:ifeval_screened,format,ifeval_screened,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,135,0.7851851851851852,0.8074074074074075,0.022088888888888887,0.0,0.051851851851851816,0.25
Qwen/Qwen2.5-7B-Instruct,13,math:overall,math,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,718,0.48885793871866295,0.7729805013927576,0.2842284122562674,0.2437325905292479,0.3231197771587743,1.6163491839624724e-38
Qwen/Qwen2.5-7B-Instruct,13,math:overall,math,overall,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,718,0.48885793871866295,0.7618384401114207,0.2727883008356546,0.2339832869080779,0.3119777158774373,9.514281683673562e-44
Qwen/Qwen2.5-7B-Instruct,13,math:overall,math,overall,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,718,0.48885793871866295,0.7729805013927576,0.2842284122562674,0.2437325905292479,0.3231197771587743,1.6163491839624724e-38
Qwen/Qwen2.5-7B-Instruct,13,math:overall,math,overall,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,718,0.48885793871866295,0.7715877437325905,0.28255988857938724,0.23955431754874656,0.3217270194986072,1.3407584630732189e-37
Qwen/Qwen2.5-7B-Instruct,13,math:overall,math,overall,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,718,0.7729805013927576,0.7729805013927576,0.0,0.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct,13,math:overall,math,overall,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,718,0.7729805013927576,0.7715877437325905,-0.0016685236768802225,-0.0069637883008356605,0.002785515320334331,1.0
Qwen/Qwen2.5-7B-Instruct,13,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,550,0.4818181818181818,0.7672727272727272,0.2856581818181818,0.23636363636363644,0.33272727272727276,1.432938479589412e-29
Qwen/Qwen2.5-7B-Instruct,13,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,550,0.4818181818181818,0.7618181818181818,0.28016363636363634,0.23636363636363633,0.3254545454545455,8.127113244139915e-36
Qwen/Qwen2.5-7B-Instruct,13,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,550,0.4818181818181818,0.7672727272727272,0.2856581818181818,0.23636363636363644,0.33272727272727276,1.432938479589412e-29
Qwen/Qwen2.5-7B-Instruct,13,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,550,0.4818181818181818,0.7672727272727272,0.2855272727272727,0.23818181818181816,0.33090909090909093,3.071962098174769e-29
Qwen/Qwen2.5-7B-Instruct,13,math:hard_cluster_main_r2,math,hard_cluster_main_r2,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,550,0.7672727272727272,0.7672727272727272,0.0,0.0,0.0,1.0
Qwen/Qwen2.5-7B-Instruct,13,math:hard_cluster_main_r2,math,hard_cluster_main_r2,POOLED_RULE_BEST,FORMAT_TUNED_SIMPLE_RULE,550,0.7672727272727272,0.7672727272727272,-0.00013090909090909087,-0.005454545454545379,0.0036363636363636598,1.0
Qwen/Qwen2.5-7B-Instruct,13,math:hard_generic_main_r2,math,hard_generic_main_r2,ALWAYS_REWRITE_OR_RESTART,POOLED_RULE_BEST,168,0.5119047619047619,0.7916666666666666,0.28079761904761896,0.1964285714285715,0.35714285714285715,4.32210722073334e-10
Qwen/Qwen2.5-7B-Instruct,13,math:hard_generic_main_r2,math,hard_generic_main_r2,ALWAYS_REWRITE_OR_RESTART,POOLED_LEARNED_GATE,168,0.5119047619047619,0.7619047619047619,0.25094047619047616,0.1785714285714286,0.3214285714285714,3.256530156647841e-09
Qwen/Qwen2.5-7B-Instruct,13,math:hard_generic_main_r2,math,hard_generic_main_r2,ALWAYS_REWRITE_OR_RESTART,MATH_TUNED_SIMPLE_RULE,168,0.5119047619047619,0.7916666666666666,0.28079761904761896,0.1964285714285715,0.35714285714285715,4.32210722073334e-10
Qwen/Qwen2.5-7B-Instruct,13,math:hard_generic_main_r2,math,hard_generic_main_r2,ALWAYS_REWRITE_OR_RESTART,FORMAT_TUNED_SIMPLE_RULE,168,0.5119047619047619,0.7857142857142857,0.27472619047619046,0.19047619047619047,0.3511904761904762,1.709326186236787e-09
Qwen/Qwen2.5-7B-Instruct,13,math:hard_generic_main_r2,math,hard_generic_main_r2,POOLED_RULE_BEST,MATH_TUNED_SIMPLE_RULE,168,0.7916666666666666,0.7916666666666666,0.0,0.0,0.0,1.0
