scope,policy,n,success_rate,utility,intervention_rate,false_intervene_rate,missed_intervene_rate,local_precision,local_recall,avg_latency_s,rate_no_intervention,rate_local_repair,rate_global_rewrite_or_restart,model_name,module,surface_name,seed
overall,NO_INTERVENTION,966,0.3498964803312629,0.3498964803312629,0.0,0.0,0.4306418219461698,0.0,0.0,1.8729754080157148,1.0,0.0,0.0,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,ALWAYS_LOCAL,966,0.6925465838509317,0.6925465838509317,1.0,0.6107660455486542,0.0,0.36231884057971014,1.0,2.124212227958904,0.0,1.0,0.0,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,ALWAYS_REWRITE_OR_RESTART,966,0.4989648033126294,0.4989648033126294,1.0,0.7784679089026915,0.0,0.0,0.0,2.40171773190317,0.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,MATH_TUNED_SIMPLE_RULE,966,0.7308488612836439,0.7308488612836439,0.650103519668737,0.2691511387163561,0.0,0.6057347670250897,0.9657142857142857,1.9837240736828403,0.3498964803312629,0.577639751552795,0.07246376811594203,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,FORMAT_TUNED_SIMPLE_RULE,966,0.7391304347826086,0.7391304347826086,0.650103519668737,0.2608695652173913,0.0,0.5573248407643312,1.0,1.9898177468387592,0.3498964803312629,0.650103519668737,0.0,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,POOLED_SIMPLE_2FEATURE,966,0.7329192546583851,0.7329192546583851,0.650103519668737,0.2670807453416149,0.0,0.6019047619047619,0.9028571428571428,2.0428444345257057,0.3498964803312629,0.5434782608695652,0.10662525879917184,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,POOLED_SIMPLE_3FEATURE,966,0.7329192546583851,0.7329192546583851,0.650103519668737,0.2670807453416149,0.0,0.6019047619047619,0.9028571428571428,2.0428444345257057,0.3498964803312629,0.5434782608695652,0.10662525879917184,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,POOLED_SIMPLE_THRESHOLDED_TREE,966,0.7308488612836439,0.7308488612836439,0.650103519668737,0.2691511387163561,0.0,0.6172161172161172,0.9628571428571429,1.9682036464866135,0.3498964803312629,0.5652173913043478,0.08488612836438923,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,POOLED_RULE_BEST,966,0.7308488612836439,0.7308488612836439,0.650103519668737,0.2691511387163561,0.0,0.6172161172161172,0.9628571428571429,1.9682036464866135,0.3498964803312629,0.5652173913043478,0.08488612836438923,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,POOLED_LEARNED_GATE,966,0.7008281573498965,0.7008281573498965,0.6459627329192547,0.2950310559006211,0.0010351966873706005,0.7037974683544304,0.7942857142857143,2.04863118666068,0.35403726708074534,0.40890269151138714,0.2370600414078675,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,MATH_DOMAIN_LEARNED_GATE,966,0.6997929606625258,0.6997929606625258,0.6325051759834368,0.2826086956521739,0.005175983436853002,0.7308707124010554,0.7914285714285715,2.0401881747854023,0.36749482401656314,0.39233954451345754,0.2401656314699793,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,FORMAT_DOMAIN_LEARNED_GATE,966,0.7028985507246377,0.7028985507246377,0.860248447204969,0.4803312629399586,0.002070393374741201,0.43669250645994834,0.9657142857142857,1.9827204225334198,0.13975155279503104,0.8012422360248447,0.059006211180124224,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
overall,ORACLE_POLICY,966,0.7805383022774327,0.7805383022774327,0.650103519668737,0.2194616977225673,0.0,0.9308510638297872,1.0,2.0080162763810576,0.3498964803312629,0.38923395445134573,0.2608695652173913,Qwen/Qwen2.5-7B-Instruct,pooled,overall,13
format:overall,NO_INTERVENTION,248,0.4798387096774194,0.4798387096774194,0.0,0.0,0.1774193548387097,0.0,0.0,3.220851492281297,1.0,0.0,0.0,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,ALWAYS_LOCAL,248,0.5685483870967742,0.5685483870967742,1.0,0.8346774193548387,0.0,0.14112903225806453,1.0,3.7703057046296196,0.0,1.0,0.0,Qwen/Qwen2.5-7B-Instruct,format,overall,13
format:overall,ALWAYS_REWRITE_OR_RESTART,248,0.5282258064516129,0.5282258064516129,1.0,0.9516129032258065,0.0,0.0,0.0,3.20300383126596,0.0,0.0,1.0,Qwen/Qwen2.5-7B-Instruct,format,overall,13
