model_name,scope,module,surface_name,policy,n_mean,n_std,n_min,n_max,success_rate_mean,success_rate_std,success_rate_min,success_rate_max,utility_mean,utility_std,utility_min,utility_max,intervention_rate_mean,intervention_rate_std,intervention_rate_min,intervention_rate_max,false_intervene_rate_mean,false_intervene_rate_std,false_intervene_rate_min,false_intervene_rate_max,missed_intervene_rate_mean,missed_intervene_rate_std,missed_intervene_rate_min,missed_intervene_rate_max,avg_latency_s_mean,avg_latency_s_std,avg_latency_s_min,avg_latency_s_max
Qwen/Qwen2.5-7B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,ALWAYS_REWRITE_OR_RESTART,541.0,26.664583251946766,511,562,0.4789059540534215,0.013884347852022463,0.4637964774951076,0.49110320284697506,0.4789059540534215,0.013884347852022463,0.4637964774951076,0.49110320284697506,1.0,0.0,1.0,1.0,0.6983954974809555,0.013105188788375487,0.6832740213523132,0.7064579256360078,0.0,0.0,0.0,0.0,2.124449043211133,0.008093402397749827,2.1159724811252762,2.1320952684694734
Qwen/Qwen2.5-7B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,MATH_TUNED_SIMPLE_RULE,541.0,26.664583251946766,511,562,0.7628285853148135,0.022503909237699037,0.7384341637010676,0.7827788649706457,0.7628285853148135,0.022503909237699037,0.7384341637010676,0.7827788649706457,0.7336103237668099,0.015768304477373637,0.72,0.7508896797153025,0.23717141468518643,0.0225039092376991,0.2172211350293542,0.2615658362989324,0.0,0.0,0.0,0.0,1.5291738775349863,0.017895453851602103,1.5166805071451448,1.549674826680792
Qwen/Qwen2.5-7B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,NO_INTERVENTION,541.0,26.664583251946766,511,562,0.2663896762331901,0.015768304477373596,0.2491103202846975,0.28,0.2663896762331901,0.015768304477373596,0.2491103202846975,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5530978961076948,0.015006414159944095,0.54,0.5694716242661448,1.4178838242158367,0.022233930298967204,1.3937710199838618,1.4375741742352468
Qwen/Qwen2.5-7B-Instruct,math:hard_cluster_main_r2,math,hard_cluster_main_r2,POOLED_RULE_BEST,541.0,26.664583251946766,511,562,0.7622354655046119,0.02347099802860825,0.7366548042704626,0.7827788649706457,0.7622354655046119,0.02347099802860825,0.7366548042704626,0.7827788649706457,0.7336103237668099,0.015768304477373637,0.72,0.7508896797153025,0.23776453449538812,0.023470998028608255,0.2172211350293542,0.26334519572953735,0.0,0.0,0.0,0.0,1.5088684997709763,0.010882330586433989,1.496438733734912,1.5166805071451448
Qwen/Qwen2.5-7B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,ALWAYS_REWRITE_OR_RESTART,165.0,3.605551275463989,161,168,0.47620502714792917,0.038878251766391515,0.43478260869565216,0.5119047619047619,0.47620502714792917,0.038878251766391515,0.43478260869565216,0.5119047619047619,1.0,0.0,1.0,1.0,0.7598801001105873,0.030003385293842527,0.7289156626506024,0.7888198757763976,0.0,0.0,0.0,0.0,2.1453289305902956,0.05247033926831905,2.101559411942227,2.203494655046473
Qwen/Qwen2.5-7B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,MATH_TUNED_SIMPLE_RULE,165.0,3.605551275463989,161,168,0.790005778808817,0.012152325481129917,0.7771084337349398,0.8012422360248447,0.790005778808817,0.012152325481129917,0.7771084337349398,0.8012422360248447,0.6549375556054445,0.03625506948652039,0.6130952380952381,0.6770186335403726,0.20999422119118294,0.012152325481129935,0.19875776397515527,0.22289156626506024,0.0,0.0,0.0,0.0,1.4431987260893389,0.04011961875654282,1.3970787156362174,1.4700392453052011
Qwen/Qwen2.5-7B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,NO_INTERVENTION,165.0,3.605551275463989,161,168,0.3450624443945554,0.03625506948652042,0.32298136645962733,0.3869047619047619,0.3450624443945554,0.03625506948652042,0.32298136645962733,0.3869047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4853731696974232,0.037721440893689596,0.44642857142857145,0.5217391304347826,1.385457836333565,0.023217212381697102,1.3586584578678456,1.3994771513931732
Qwen/Qwen2.5-7B-Instruct,math:hard_generic_main_r2,math,hard_generic_main_r2,POOLED_RULE_BEST,165.0,3.605551275463989,161,168,0.7879353854340758,0.009526118887089126,0.7771084337349398,0.7950310559006211,0.7879353854340758,0.009526118887089126,0.7771084337349398,0.7950310559006211,0.6549375556054445,0.03625506948652039,0.6130952380952381,0.6770186335403726,0.21206461456592415,0.009526118887089145,0.20496894409937888,0.22289156626506024,0.0,0.0,0.0,0.0,1.435937731498921,0.03439597857316203,1.3970787156362174,1.4624782173265984
Qwen/Qwen2.5-7B-Instruct,math:overall,math,overall,ALWAYS_REWRITE_OR_RESTART,706.0,29.866369046136157,672,728,0.4782380552749634,0.01852688118010845,0.4568452380952381,0.489010989010989,0.4782380552749634,0.01852688118010845,0.4568452380952381,0.489010989010989,1.0,0.0,1.0,1.0,0.7128449158393448,0.017017593681351906,0.6936813186813187,0.7261904761904762,0.0,0.0,0.0,0.0,2.1294508634029663,0.012919286024284382,2.119383745475616,2.144018456342608
Qwen/Qwen2.5-7B-Instruct,math:overall,math,overall,MATH_TUNED_SIMPLE_RULE,706.0,29.866369046136157,672,728,0.7691452098659619,0.020249084028798905,0.7472527472527473,0.7872023809523809,0.7691452098659619,0.020249084028798905,0.7472527472527473,0.7872023809523809,0.715254820233929,0.019343459772681933,0.6949860724233984,0.7335164835164835,0.230854790134038,0.02024908402879894,0.21279761904761904,0.25274725274725274,0.0,0.0,0.0,0.0,1.5091349596903612,0.02054906434297577,1.4886956868477912,1.529792083339039
Qwen/Qwen2.5-7B-Instruct,math:overall,math,overall,NO_INTERVENTION,706.0,29.866369046136157,672,728,0.2847451797660711,0.019343459772681953,0.2664835164835165,0.3050139275766017,0.2847451797660711,0.019343459772681953,0.2664835164835165,0.3050139275766017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5372852831940576,0.02001123555960185,0.5181058495821727,0.5580357142857143,1.4103855017510671,0.016930019139900936,1.3951381139673427,1.4286046391167515
Qwen/Qwen2.5-7B-Instruct,math:overall,math,overall,POOLED_RULE_BEST,706.0,29.866369046136157,672,728,0.7681913026620547,0.02034483737272952,0.7458791208791209,0.7857142857142857,0.7681913026620547,0.02034483737272952,0.7458791208791209,0.7857142857142857,0.715254820233929,0.019343459772681933,0.6949860724233984,0.7335164835164835,0.23180869733794526,0.02034483737272955,0.21428571428571427,0.2541208791208791,0.0,0.0,0.0,0.0,1.4918153357631165,0.008900112112424486,1.4848950164367645,1.5018553040047933
